model_id,descriptor_order,descriptor_name,descriptor_source
mouse_xgboost,12,EState_VSA8,data/training_files/mouse_selected_descriptors_train.csv
mouse_xgboost,13,ETA_psi_1,data/training_files/mouse_selected_descriptors_train.csv
mouse_xgboost,14,BCUTdv-1l,data/training_files/mouse_selected_descriptors_train.csv
mouse_xgboost,15,PEOE_VSA7,data/training_files/mouse_selected_descriptors_train.csv
mouse_xgboost,16,IC0,data/training_files/mouse_selected_descriptors_train.csv
mouse_xgboost,17,AATSC0v,data/training_files/mouse_selected_descriptors_train.csv
mouse_xgboost,18,Xch-6dv,data/training_files/mouse_selected_descriptors_train.csv
mouse_xgboost,19,BCUTd-1l,data/training_files/mouse_selected_descriptors_train.csv
rabbit_adaboost,1,BCUTi-1l,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,2,BCUTZ-1l,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,3,BCUTi-1h,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,4,BCUTv-1l,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,5,BCUTdv-1h,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,6,BCUTse-1l,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,7,PEOE_VSA1,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,8,BCUTd-1h,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,9,SIC0,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,10,BCUTZ-1h,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,11,SMR_VSA6,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,12,BCUTs-1h,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,13,SlogP_VSA2,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,14,BCUTdv-1l,data/training_files/rabbit_selected_descriptors_train.csv
rabbit_adaboost,15,GATS2dv,data/training_files/rabbit_selected_descriptors_train.csv
rat_mlp,1,BCUTi-1l,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,2,BCUTdv-1h,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,3,BCUTs-1l,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,4,BCUTi-1h,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,5,BCUTZ-1l,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,6,BCUTs-1h,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,7,BCUTd-1h,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,8,BCUTv-1l,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,9,SIC0,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,10,BCUTse-1l,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,11,BCUTse-1h,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,12,BCUTdv-1l,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,13,EState_VSA8,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,14,nBase,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,15,PEOE_VSA7,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,16,SLogP,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,17,SMR_VSA6,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,18,BCUTZ-1h,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,19,SMR_VSA3,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,20,AATSC0v,data/training_files/rat_selected_descriptors_train.csv
rat_mlp,21,ETA_dEpsilon_D,data/training_files/rat_selected_descriptors_train.csv
