species,route,endpoint,total_compound_count,source_total_compound_count,total_class_0,total_class_1,training_compound_count,test_compound_count,train_class_0,train_class_1,test_class_0,test_class_1,notes
Cat,Intravenous,Acute toxicity LD50 classification,236,236,118,118,188,48,97,91,21,27,
Dog,Intravenous,Acute toxicity LD50 classification,353,392,176,177,247,106,123,124,53,53,Modeling dataset contains 353 compounds after filtering; source dataset contains 392 compounds.
Guinea Pig,Intravenous,Acute toxicity LD50 classification,135,135,67,68,108,27,54,54,13,14,
Mouse,Intravenous,Acute toxicity LD50 classification,13243,14714,6621,6622,9270,3973,4635,4635,1986,1987,Modeling dataset contains 13243 compounds after filtering; source dataset contains 14714 compounds.
Rabbit,Intravenous,Acute toxicity LD50 classification,581,645,290,291,406,175,203,203,87,88,Modeling dataset contains 581 compounds after filtering; source dataset contains 645 compounds.
Rat,Intravenous,Acute toxicity LD50 classification,1926,2140,963,963,1348,578,674,674,289,289,Modeling dataset contains 1926 compounds after filtering; source dataset contains 2140 compounds.
