model_id,species,neighbor_count,ad_threshold,test_in_ad,test_out_of_ad,test_in_ad_percent,pca_pc1_variance,pca_pc2_variance
cat_svc,Cat,5,5.517048142535229,47,1,97.91666666666667,0.3703352206790138,0.176564526483742
dog_decisiontree,Dog,5,4.122187661653054,103,3,97.16981132075472,0.22859618554366667,0.21804916916052014
guinea_pig_mlp,Guinea Pig,5,3.910558986168089,22,5,81.48148148148148,0.5009497946281518,0.17770873168521917
mouse_xgboost,Mouse,5,2.214716460617513,3782,191,95.19254971054619,0.2125318730829758,0.18042108741389976
rabbit_adaboost,Rabbit,5,3.455278213558498,166,9,94.85714285714286,0.2250027096288077,0.20143935028065868
rat_mlp,Rat,5,3.607196874297536,551,27,95.3287197231834,0.20409022881028854,0.1833037302725947
