model_id,species,route,endpoint,model_name,selected_descriptor_count,training_compound_count,test_compound_count,Training Accuracy,Training Precision,Training Recall,Training F1,Training MCC,Test Accuracy,Test Precision,Test Recall,Test F1,Test MCC,ROC-AUC,best_parameters
cat_svc,Cat,Intravenous,Acute toxicity LD50 classification,SVC,16,188,48,0.8457446809,0.7627118644,0.989010989,0.8612440191,0.7239897435,0.8958333333,0.8666666667,0.962962963,0.9122807018,0.7915633925,0.9365079365,"{'svc__kernel': 'rbf', 'svc__gamma': 0.001, 'svc__C': 1000, 'calibration_method': 'sigmoid', 'calibration_cv': 'Stratified 5-fold', 'shuffle': True, 'random_state': 42, 'ensemble': False}"
dog_decisiontree,Dog,Intravenous,Acute toxicity LD50 classification,DecisionTree,17,247,106,0.8866,0.9286,0.8387,0.8814,0.777,0.8019,0.8636,0.717,0.7835,0.6127,0.8097,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2'}"
guinea_pig_mlp,Guinea Pig,Intravenous,Acute toxicity LD50 classification,MLP,19,108,27,0.9352,0.9608,0.9074,0.9333,0.8717,0.8889,1.0,0.7857,0.88,0.799,0.8681,"{'activation': 'tanh', 'hidden_layer_sizes': (10,), 'max_iter': 1000, 'alpha': 0.0001}"
mouse_xgboost,Mouse,Intravenous,Acute toxicity LD50 classification,XGBoost,19,9270,3973,0.9076,0.9144,0.8992,0.9067,0.8152,0.809,0.8158,0.7982,0.8069,0.6181,0.8897,"{'booster': 'dart', 'learning_rate': 0.1, 'min_child_weight': 1, 'max_delta_step': 0, 'random_state': 42}"
rabbit_adaboost,Rabbit,Intravenous,Acute toxicity LD50 classification,AdaBoost,15,406,175,0.9064,0.891,0.9261,0.9082,0.8134,0.8057,0.7935,0.8295,0.8111,0.612,0.8837,"{'n_estimators': 100, 'random_state': 42, 'learning_rate': 1.0, 'algorithm': 'SAMME'}"
rat_mlp,Rat,Intravenous,Acute toxicity LD50 classification,MLP,21,1348,578,0.8828,0.8805,0.8858,0.8831,0.7656,0.8218,0.8142,0.8339,0.8239,0.6438,0.8891,"{'activation': 'relu', 'hidden_layer_sizes': (10,), 'max_iter': 1000, 'alpha': 0.0005}"
