number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_layer_sizes,params_max_iter,state
39,0.8131487889273357,2026-07-07 17:42:31.938541,2026-07-07 17:42:32.414367,0 days 00:00:00.475826,relu,0.0005,"(5,)",1000,COMPLETE
40,0.8027681660899654,2026-07-07 17:42:32.414367,2026-07-07 17:42:32.556666,0 days 00:00:00.142299,tanh,0.0005,"(10,)",200,COMPLETE
41,0.8217993079584776,2026-07-07 17:42:32.556666,2026-07-07 17:42:33.667121,0 days 00:00:01.110455,logistic,0.0005,"(10,)",1000,COMPLETE
42,0.8217993079584776,2026-07-07 17:42:33.667121,2026-07-07 17:42:34.811169,0 days 00:00:01.144048,logistic,0.0005,"(10,)",1000,COMPLETE
43,0.8217993079584776,2026-07-07 17:42:34.811169,2026-07-07 17:42:35.888872,0 days 00:00:01.077703,logistic,0.0005,"(10,)",1000,COMPLETE
44,0.8217993079584776,2026-07-07 17:42:35.888872,2026-07-07 17:42:37.014632,0 days 00:00:01.125760,logistic,0.0005,"(10,)",1000,COMPLETE
45,0.8217993079584776,2026-07-07 17:42:37.014632,2026-07-07 17:42:38.139856,0 days 00:00:01.125224,logistic,0.0005,"(10,)",1000,COMPLETE
46,0.8217993079584776,2026-07-07 17:42:38.139856,2026-07-07 17:42:39.265369,0 days 00:00:01.125513,logistic,0.0001,"(10,)",1000,COMPLETE
47,0.8131487889273357,2026-07-07 17:42:39.265369,2026-07-07 17:42:39.762480,0 days 00:00:00.497111,relu,0.0005,"(5,)",1000,COMPLETE
48,0.8217993079584776,2026-07-07 17:42:39.764486,2026-07-07 17:42:40.884248,0 days 00:00:01.119762,logistic,0.0001,"(10,)",1000,COMPLETE
49,0.7975778546712803,2026-07-07 17:42:40.884248,2026-07-07 17:42:41.582414,0 days 00:00:00.698166,tanh,0.0005,"(10,)",1000,COMPLETE
50,0.8217993079584776,2026-07-07 17:42:41.582414,2026-07-07 17:42:42.137336,0 days 00:00:00.554922,relu,0.0001,"(10,)",1000,COMPLETE
51,0.8217993079584776,2026-07-07 17:42:42.137336,2026-07-07 17:42:43.264643,0 days 00:00:01.127307,logistic,0.0001,"(10,)",1000,COMPLETE
52,0.8217993079584776,2026-07-07 17:42:43.264643,2026-07-07 17:42:44.374400,0 days 00:00:01.109757,logistic,0.0001,"(10,)",1000,COMPLETE
53,0.8217993079584776,2026-07-07 17:42:44.374400,2026-07-07 17:42:45.467083,0 days 00:00:01.092683,logistic,0.0001,"(10,)",1000,COMPLETE
54,0.8217993079584776,2026-07-07 17:42:45.467083,2026-07-07 17:42:46.594464,0 days 00:00:01.127381,logistic,0.0001,"(10,)",1000,COMPLETE
55,0.8217993079584776,2026-07-07 17:42:46.594464,2026-07-07 17:42:47.097232,0 days 00:00:00.502768,relu,0.0005,"(10,)",1000,COMPLETE
56,0.8217993079584776,2026-07-07 17:42:47.097232,2026-07-07 17:42:48.189554,0 days 00:00:01.092322,logistic,0.0001,"(10,)",1000,COMPLETE
57,0.8183391003460208,2026-07-07 17:42:48.189554,2026-07-07 17:42:48.348663,0 days 00:00:00.159109,relu,0.0005,"(10,)",200,COMPLETE
58,0.7993079584775087,2026-07-07 17:42:48.348663,2026-07-07 17:42:48.839926,0 days 00:00:00.491263,logistic,0.0001,"(5,)",1000,COMPLETE
59,0.8217993079584776,2026-07-07 17:42:48.839926,2026-07-07 17:42:49.331463,0 days 00:00:00.491537,relu,0.0005,"(10,)",1000,COMPLETE
60,0.8217993079584776,2026-07-07 17:42:49.331463,2026-07-07 17:42:50.423765,0 days 00:00:01.092302,logistic,0.0001,"(10,)",1000,COMPLETE
61,0.8217993079584776,2026-07-07 17:42:50.423765,2026-07-07 17:42:50.924631,0 days 00:00:00.500866,relu,0.0005,"(10,)",1000,COMPLETE
62,0.8217993079584776,2026-07-07 17:42:50.924631,2026-07-07 17:42:51.410134,0 days 00:00:00.485503,relu,0.0005,"(10,)",1000,COMPLETE
63,0.8217993079584776,2026-07-07 17:42:51.410134,2026-07-07 17:42:51.920190,0 days 00:00:00.510056,relu,0.0005,"(10,)",1000,COMPLETE
64,0.8217993079584776,2026-07-07 17:42:51.936260,2026-07-07 17:42:52.432310,0 days 00:00:00.496050,relu,0.0005,"(10,)",1000,COMPLETE
65,0.8217993079584776,2026-07-07 17:42:52.432310,2026-07-07 17:42:52.938062,0 days 00:00:00.505752,relu,0.0005,"(10,)",1000,COMPLETE
66,0.8217993079584776,2026-07-07 17:42:52.938062,2026-07-07 17:42:54.058426,0 days 00:00:01.120364,logistic,0.0005,"(10,)",1000,COMPLETE
67,0.8183391003460208,2026-07-07 17:42:54.058426,2026-07-07 17:42:54.202757,0 days 00:00:00.144331,relu,0.0001,"(10,)",200,COMPLETE
68,0.801038062283737,2026-07-07 17:42:54.202757,2026-07-07 17:42:54.762047,0 days 00:00:00.559290,tanh,0.0005,"(5,)",1000,COMPLETE
69,0.8217993079584776,2026-07-07 17:42:54.762047,2026-07-07 17:42:55.849043,0 days 00:00:01.086996,logistic,0.0001,"(10,)",1000,COMPLETE
70,0.8217993079584776,2026-07-07 17:42:55.849043,2026-07-07 17:42:56.343775,0 days 00:00:00.494732,relu,0.0005,"(10,)",1000,COMPLETE
71,0.8217993079584776,2026-07-07 17:42:56.343775,2026-07-07 17:42:57.430667,0 days 00:00:01.086892,logistic,0.0001,"(10,)",1000,COMPLETE
72,0.8217993079584776,2026-07-07 17:42:57.430667,2026-07-07 17:42:58.570020,0 days 00:00:01.139353,logistic,0.0001,"(10,)",1000,COMPLETE
