number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_layer_sizes,params_max_iter,state
39,0.8888888888888888,2026-07-09 13:59:57.993022,2026-07-09 13:59:58.089003,0 days 00:00:00.095981,tanh,0.0005,"(10,)",1000,COMPLETE
40,0.7777777777777778,2026-07-09 13:59:58.089003,2026-07-09 13:59:58.110645,0 days 00:00:00.021642,relu,0.0001,"(5,)",200,COMPLETE
41,0.8888888888888888,2026-07-09 13:59:58.110645,2026-07-09 13:59:58.209019,0 days 00:00:00.098374,tanh,0.0001,"(10,)",1000,COMPLETE
42,0.8888888888888888,2026-07-09 13:59:58.209019,2026-07-09 13:59:58.303846,0 days 00:00:00.094827,tanh,0.0001,"(10,)",1000,COMPLETE
43,0.8888888888888888,2026-07-09 13:59:58.303846,2026-07-09 13:59:58.399084,0 days 00:00:00.095238,tanh,0.0001,"(10,)",1000,COMPLETE
44,0.8888888888888888,2026-07-09 13:59:58.399084,2026-07-09 13:59:58.495002,0 days 00:00:00.095918,tanh,0.0001,"(10,)",1000,COMPLETE
45,0.8148148148148148,2026-07-09 13:59:58.495002,2026-07-09 13:59:58.607321,0 days 00:00:00.112319,logistic,0.0005,"(10,)",1000,COMPLETE
46,0.8888888888888888,2026-07-09 13:59:58.607321,2026-07-09 13:59:58.703744,0 days 00:00:00.096423,tanh,0.0001,"(10,)",1000,COMPLETE
47,0.8888888888888888,2026-07-09 13:59:58.703744,2026-07-09 13:59:58.799130,0 days 00:00:00.095386,tanh,0.0001,"(10,)",1000,COMPLETE
48,0.8888888888888888,2026-07-09 13:59:58.799130,2026-07-09 13:59:58.894768,0 days 00:00:00.095638,tanh,0.0001,"(10,)",1000,COMPLETE
49,0.7777777777777778,2026-07-09 13:59:58.894768,2026-07-09 13:59:58.910524,0 days 00:00:00.015756,relu,0.0005,"(5,)",200,COMPLETE
50,0.8888888888888888,2026-07-09 13:59:58.910524,2026-07-09 13:59:59.005732,0 days 00:00:00.095208,tanh,0.0001,"(10,)",1000,COMPLETE
51,0.8888888888888888,2026-07-09 13:59:59.005732,2026-07-09 13:59:59.101987,0 days 00:00:00.096255,tanh,0.0001,"(10,)",1000,COMPLETE
52,0.8888888888888888,2026-07-09 13:59:59.101987,2026-07-09 13:59:59.198623,0 days 00:00:00.096636,tanh,0.0001,"(10,)",1000,COMPLETE
53,0.8888888888888888,2026-07-09 13:59:59.198623,2026-07-09 13:59:59.295260,0 days 00:00:00.096637,tanh,0.0001,"(10,)",1000,COMPLETE
54,0.8888888888888888,2026-07-09 13:59:59.295260,2026-07-09 13:59:59.391291,0 days 00:00:00.096031,tanh,0.0001,"(10,)",1000,COMPLETE
55,0.8888888888888888,2026-07-09 13:59:59.391291,2026-07-09 13:59:59.487080,0 days 00:00:00.095789,tanh,0.0001,"(10,)",1000,COMPLETE
56,0.8888888888888888,2026-07-09 13:59:59.487080,2026-07-09 13:59:59.583720,0 days 00:00:00.096640,tanh,0.0001,"(10,)",1000,COMPLETE
57,0.8148148148148148,2026-07-09 13:59:59.583720,2026-07-09 13:59:59.696146,0 days 00:00:00.112426,logistic,0.0001,"(10,)",1000,COMPLETE
58,0.8888888888888888,2026-07-09 13:59:59.696146,2026-07-09 13:59:59.792170,0 days 00:00:00.096024,tanh,0.0001,"(10,)",1000,COMPLETE
59,0.8148148148148148,2026-07-09 13:59:59.792170,2026-07-09 13:59:59.894619,0 days 00:00:00.102449,tanh,0.0001,"(5,)",1000,COMPLETE
60,0.8888888888888888,2026-07-09 13:59:59.894619,2026-07-09 13:59:59.989622,0 days 00:00:00.095003,tanh,0.0001,"(10,)",1000,COMPLETE
61,0.8888888888888888,2026-07-09 13:59:59.989622,2026-07-09 14:00:00.076265,0 days 00:00:00.086643,tanh,0.0001,"(10,)",1000,COMPLETE
62,0.8888888888888888,2026-07-09 14:00:00.076265,2026-07-09 14:00:00.172513,0 days 00:00:00.096248,tanh,0.0001,"(10,)",1000,COMPLETE
63,0.8888888888888888,2026-07-09 14:00:00.172513,2026-07-09 14:00:00.268126,0 days 00:00:00.095613,tanh,0.0001,"(10,)",1000,COMPLETE
64,0.8888888888888888,2026-07-09 14:00:00.268126,2026-07-09 14:00:00.363900,0 days 00:00:00.095774,tanh,0.0001,"(10,)",1000,COMPLETE
65,0.8888888888888888,2026-07-09 14:00:00.363900,2026-07-09 14:00:00.459874,0 days 00:00:00.095974,tanh,0.0001,"(10,)",1000,COMPLETE
66,0.8888888888888888,2026-07-09 14:00:00.459874,2026-07-09 14:00:00.558148,0 days 00:00:00.098274,tanh,0.0001,"(10,)",1000,COMPLETE
67,0.8148148148148148,2026-07-09 14:00:00.558148,2026-07-09 14:00:00.588061,0 days 00:00:00.029913,relu,0.0005,"(10,)",200,COMPLETE
68,0.8148148148148148,2026-07-09 14:00:00.588061,2026-07-09 14:00:00.698483,0 days 00:00:00.110422,logistic,0.0001,"(10,)",1000,COMPLETE
69,0.8888888888888888,2026-07-09 14:00:00.698483,2026-07-09 14:00:00.801860,0 days 00:00:00.103377,tanh,0.0001,"(10,)",1000,COMPLETE
70,0.8148148148148148,2026-07-09 14:00:00.801860,2026-07-09 14:00:00.890146,0 days 00:00:00.088286,tanh,0.0001,"(5,)",1000,COMPLETE
71,0.8888888888888888,2026-07-09 14:00:00.890146,2026-07-09 14:00:00.986508,0 days 00:00:00.096362,tanh,0.0001,"(10,)",1000,COMPLETE
72,0.8888888888888888,2026-07-09 14:00:00.986508,2026-07-09 14:00:01.081348,0 days 00:00:00.094840,tanh,0.0001,"(10,)",1000,COMPLETE
73,0.8888888888888888,2026-07-09 14:00:01.081348,2026-07-09 14:00:01.192232,0 days 00:00:00.110884,tanh,0.0001,"(10,)",1000,COMPLETE
74,0.8888888888888888,2026-07-09 14:00:01.192232,2026-07-09 14:00:01.287113,0 days 00:00:00.094881,tanh,0.0001,"(10,)",1000,COMPLETE
75,0.8888888888888888,2026-07-09 14:00:01.287113,2026-07-09 14:00:01.383598,0 days 00:00:00.096485,tanh,0.0001,"(10,)",1000,COMPLETE
76,0.8148148148148148,2026-07-09 14:00:01.383598,2026-07-09 14:00:01.399796,0 days 00:00:00.016198,tanh,0.0001,"(10,)",200,COMPLETE
77,0.8888888888888888,2026-07-09 14:00:01.399796,2026-07-09 14:00:01.510754,0 days 00:00:00.110958,tanh,0.0005,"(10,)",1000,COMPLETE
78,0.8888888888888888,2026-07-09 14:00:01.510754,2026-07-09 14:00:01.610957,0 days 00:00:00.100203,tanh,0.0001,"(10,)",1000,COMPLETE
79,0.8518518518518519,2026-07-09 14:00:01.610957,2026-07-09 14:00:01.701032,0 days 00:00:00.090075,relu,0.0001,"(10,)",1000,COMPLETE
80,0.8148148148148148,2026-07-09 14:00:01.701032,2026-07-09 14:00:01.800230,0 days 00:00:00.099198,tanh,0.0001,"(5,)",1000,COMPLETE
81,0.8888888888888888,2026-07-09 14:00:01.802237,2026-07-09 14:00:01.892193,0 days 00:00:00.089956,tanh,0.0001,"(10,)",1000,COMPLETE
82,0.8888888888888888,2026-07-09 14:00:01.892193,2026-07-09 14:00:01.998195,0 days 00:00:00.106002,tanh,0.0001,"(10,)",1000,COMPLETE
83,0.8888888888888888,2026-07-09 14:00:01.998195,2026-07-09 14:00:02.096396,0 days 00:00:00.098201,tanh,0.0001,"(10,)",1000,COMPLETE
84,0.8148148148148148,2026-07-09 14:00:02.096396,2026-07-09 14:00:02.221399,0 days 00:00:00.125003,logistic,0.0001,"(10,)",1000,COMPLETE
85,0.8888888888888888,2026-07-09 14:00:02.221399,2026-07-09 14:00:02.332871,0 days 00:00:00.111472,tanh,0.0001,"(10,)",1000,COMPLETE
86,0.8888888888888888,2026-07-09 14:00:02.332871,2026-07-09 14:00:02.428278,0 days 00:00:00.095407,tanh,0.0001,"(10,)",1000,COMPLETE
87,0.8148148148148148,2026-07-09 14:00:02.428278,2026-07-09 14:00:02.460299,0 days 00:00:00.032021,tanh,0.0001,"(10,)",200,COMPLETE
88,0.8888888888888888,2026-07-09 14:00:02.460299,2026-07-09 14:00:02.557215,0 days 00:00:00.096916,tanh,0.0005,"(10,)",1000,COMPLETE
89,0.8888888888888888,2026-07-09 14:00:02.557215,2026-07-09 14:00:02.653131,0 days 00:00:00.095916,tanh,0.0001,"(10,)",1000,COMPLETE
90,0.8888888888888888,2026-07-09 14:00:02.653131,2026-07-09 14:00:02.748819,0 days 00:00:00.095688,tanh,0.0001,"(10,)",1000,COMPLETE
91,0.8888888888888888,2026-07-09 14:00:02.748819,2026-07-09 14:00:02.845129,0 days 00:00:00.096310,tanh,0.0001,"(10,)",1000,COMPLETE
92,0.8888888888888888,2026-07-09 14:00:02.845129,2026-07-09 14:00:02.940841,0 days 00:00:00.095712,tanh,0.0001,"(10,)",1000,COMPLETE
93,0.8888888888888888,2026-07-09 14:00:02.940841,2026-07-09 14:00:03.036132,0 days 00:00:00.095291,tanh,0.0001,"(10,)",1000,COMPLETE
94,0.8888888888888888,2026-07-09 14:00:03.036132,2026-07-09 14:00:03.131686,0 days 00:00:00.095554,tanh,0.0001,"(10,)",1000,COMPLETE
95,0.8518518518518519,2026-07-09 14:00:03.131686,2026-07-09 14:00:03.227703,0 days 00:00:00.096017,relu,0.0001,"(10,)",1000,COMPLETE
96,0.8148148148148148,2026-07-09 14:00:03.227703,2026-07-09 14:00:03.324532,0 days 00:00:00.096829,tanh,0.0001,"(5,)",1000,COMPLETE
97,0.8888888888888888,2026-07-09 14:00:03.324532,2026-07-09 14:00:03.420312,0 days 00:00:00.095780,tanh,0.0001,"(10,)",1000,COMPLETE
98,0.8148148148148148,2026-07-09 14:00:03.420312,2026-07-09 14:00:03.532278,0 days 00:00:00.111966,logistic,0.0001,"(10,)",1000,COMPLETE
99,0.8888888888888888,2026-07-09 14:00:03.532278,2026-07-09 14:00:03.628728,0 days 00:00:00.096450,tanh,0.0001,"(10,)",1000,COMPLETE
100,0.8148148148148148,2026-07-09 14:00:03.628728,2026-07-09 14:00:03.660314,0 days 00:00:00.031586,tanh,0.0001,"(10,)",200,COMPLETE
101,0.8888888888888888,2026-07-09 14:00:03.660314,2026-07-09 14:00:03.756318,0 days 00:00:00.096004,tanh,0.0001,"(10,)",1000,COMPLETE
102,0.8888888888888888,2026-07-09 14:00:03.756318,2026-07-09 14:00:03.851686,0 days 00:00:00.095368,tanh,0.0001,"(10,)",1000,COMPLETE
103,0.8888888888888888,2026-07-09 14:00:03.851686,2026-07-09 14:00:03.963652,0 days 00:00:00.111966,tanh,0.0001,"(10,)",1000,COMPLETE
104,0.8888888888888888,2026-07-09 14:00:03.963652,2026-07-09 14:00:04.046162,0 days 00:00:00.082510,tanh,0.0001,"(10,)",1000,COMPLETE
105,0.8888888888888888,2026-07-09 14:00:04.046162,2026-07-09 14:00:04.140109,0 days 00:00:00.093947,tanh,0.0005,"(10,)",1000,COMPLETE
106,0.8888888888888888,2026-07-09 14:00:04.140109,2026-07-09 14:00:04.250408,0 days 00:00:00.110299,tanh,0.0001,"(10,)",1000,COMPLETE
107,0.8888888888888888,2026-07-09 14:00:04.250408,2026-07-09 14:00:04.345938,0 days 00:00:00.095530,tanh,0.0001,"(10,)",1000,COMPLETE
108,0.8888888888888888,2026-07-09 14:00:04.345938,2026-07-09 14:00:04.442616,0 days 00:00:00.096678,tanh,0.0001,"(10,)",1000,COMPLETE
109,0.8148148148148148,2026-07-09 14:00:04.442616,2026-07-09 14:00:04.536578,0 days 00:00:00.093962,relu,0.0001,"(5,)",1000,COMPLETE
110,0.8888888888888888,2026-07-09 14:00:04.536578,2026-07-09 14:00:04.631927,0 days 00:00:00.095349,tanh,0.0001,"(10,)",1000,COMPLETE
111,0.8888888888888888,2026-07-09 14:00:04.631927,2026-07-09 14:00:04.728044,0 days 00:00:00.096117,tanh,0.0001,"(10,)",1000,COMPLETE
112,0.8888888888888888,2026-07-09 14:00:04.728044,2026-07-09 14:00:04.823709,0 days 00:00:00.095665,tanh,0.0001,"(10,)",1000,COMPLETE
113,0.8888888888888888,2026-07-09 14:00:04.823709,2026-07-09 14:00:04.918993,0 days 00:00:00.095284,tanh,0.0001,"(10,)",1000,COMPLETE
114,0.8888888888888888,2026-07-09 14:00:04.918993,2026-07-09 14:00:05.015159,0 days 00:00:00.096166,tanh,0.0001,"(10,)",1000,COMPLETE
115,0.8888888888888888,2026-07-09 14:00:05.015159,2026-07-09 14:00:05.110578,0 days 00:00:00.095419,tanh,0.0001,"(10,)",1000,COMPLETE
116,0.8148148148148148,2026-07-09 14:00:05.110578,2026-07-09 14:00:05.222150,0 days 00:00:00.111572,logistic,0.0001,"(10,)",1000,COMPLETE
117,0.8148148148148148,2026-07-09 14:00:05.222150,2026-07-09 14:00:05.253897,0 days 00:00:00.031747,tanh,0.0001,"(10,)",200,COMPLETE
118,0.8888888888888888,2026-07-09 14:00:05.253897,2026-07-09 14:00:05.349453,0 days 00:00:00.095556,tanh,0.0005,"(10,)",1000,COMPLETE
119,0.8888888888888888,2026-07-09 14:00:05.349453,2026-07-09 14:00:05.445091,0 days 00:00:00.095638,tanh,0.0001,"(10,)",1000,COMPLETE
120,0.8888888888888888,2026-07-09 14:00:05.445091,2026-07-09 14:00:05.540494,0 days 00:00:00.095403,tanh,0.0001,"(10,)",1000,COMPLETE
121,0.8888888888888888,2026-07-09 14:00:05.540494,2026-07-09 14:00:05.636438,0 days 00:00:00.095944,tanh,0.0001,"(10,)",1000,COMPLETE
122,0.8888888888888888,2026-07-09 14:00:05.636438,2026-07-09 14:00:05.748224,0 days 00:00:00.111786,tanh,0.0001,"(10,)",1000,COMPLETE
123,0.8888888888888888,2026-07-09 14:00:05.748224,2026-07-09 14:00:05.828177,0 days 00:00:00.079953,tanh,0.0001,"(10,)",1000,COMPLETE
124,0.8888888888888888,2026-07-09 14:00:05.828177,2026-07-09 14:00:05.924909,0 days 00:00:00.096732,tanh,0.0001,"(10,)",1000,COMPLETE
125,0.8888888888888888,2026-07-09 14:00:05.924909,2026-07-09 14:00:06.035201,0 days 00:00:00.110292,tanh,0.0001,"(10,)",1000,COMPLETE
126,0.8888888888888888,2026-07-09 14:00:06.035201,2026-07-09 14:00:06.131346,0 days 00:00:00.096145,tanh,0.0001,"(10,)",1000,COMPLETE
127,0.8148148148148148,2026-07-09 14:00:06.131346,2026-07-09 14:00:06.227463,0 days 00:00:00.096117,tanh,0.0001,"(5,)",1000,COMPLETE
128,0.8888888888888888,2026-07-09 14:00:06.227463,2026-07-09 14:00:06.323397,0 days 00:00:00.095934,tanh,0.0001,"(10,)",1000,COMPLETE
129,0.8518518518518519,2026-07-09 14:00:06.323397,2026-07-09 14:00:06.419928,0 days 00:00:00.096531,relu,0.0001,"(10,)",1000,COMPLETE
130,0.8888888888888888,2026-07-09 14:00:06.419928,2026-07-09 14:00:06.515389,0 days 00:00:00.095461,tanh,0.0001,"(10,)",1000,COMPLETE
131,0.8888888888888888,2026-07-09 14:00:06.515389,2026-07-09 14:00:06.618899,0 days 00:00:00.103510,tanh,0.0001,"(10,)",1000,COMPLETE
132,0.8888888888888888,2026-07-09 14:00:06.618899,2026-07-09 14:00:06.722225,0 days 00:00:00.103326,tanh,0.0001,"(10,)",1000,COMPLETE
133,0.8888888888888888,2026-07-09 14:00:06.722225,2026-07-09 14:00:06.816801,0 days 00:00:00.094576,tanh,0.0001,"(10,)",1000,COMPLETE
134,0.8888888888888888,2026-07-09 14:00:06.816801,2026-07-09 14:00:06.911462,0 days 00:00:00.094661,tanh,0.0001,"(10,)",1000,COMPLETE
135,0.8888888888888888,2026-07-09 14:00:06.911462,2026-07-09 14:00:07.023132,0 days 00:00:00.111670,tanh,0.0001,"(10,)",1000,COMPLETE
136,0.8148148148148148,2026-07-09 14:00:07.023132,2026-07-09 14:00:07.151018,0 days 00:00:00.127886,logistic,0.0001,"(10,)",1000,COMPLETE
137,0.8148148148148148,2026-07-09 14:00:07.151018,2026-07-09 14:00:07.166945,0 days 00:00:00.015927,tanh,0.0005,"(10,)",200,COMPLETE
138,0.8888888888888888,2026-07-09 14:00:07.166945,2026-07-09 14:00:07.277308,0 days 00:00:00.110363,tanh,0.0001,"(10,)",1000,COMPLETE
139,0.8888888888888888,2026-07-09 14:00:07.277308,2026-07-09 14:00:07.372582,0 days 00:00:00.095274,tanh,0.0001,"(10,)",1000,COMPLETE
140,0.8888888888888888,2026-07-09 14:00:07.372582,2026-07-09 14:00:07.483878,0 days 00:00:00.111296,tanh,0.0001,"(10,)",1000,COMPLETE
141,0.8888888888888888,2026-07-09 14:00:07.483878,2026-07-09 14:00:07.579145,0 days 00:00:00.095267,tanh,0.0001,"(10,)",1000,COMPLETE
142,0.8888888888888888,2026-07-09 14:00:07.579145,2026-07-09 14:00:07.674621,0 days 00:00:00.095476,tanh,0.0001,"(10,)",1000,COMPLETE
143,0.8888888888888888,2026-07-09 14:00:07.674621,2026-07-09 14:00:07.770468,0 days 00:00:00.095847,tanh,0.0001,"(10,)",1000,COMPLETE
144,0.8888888888888888,2026-07-09 14:00:07.770468,2026-07-09 14:00:07.867630,0 days 00:00:00.097162,tanh,0.0001,"(10,)",1000,COMPLETE
