number,value,datetime_start,datetime_complete,duration,params_booster,params_learning_rate,params_max_delta_step,params_min_child_weight,params_random_state,state
40,0.8089604832620186,2026-07-13 19:14:11.107488,2026-07-13 19:14:12.387148,0 days 00:00:01.279660,dart,0.1,0,1,42,COMPLETE
41,0.8089604832620186,2026-07-13 19:14:12.388891,2026-07-13 19:14:13.575880,0 days 00:00:01.186989,dart,0.1,0,1,42,COMPLETE
42,0.8089604832620186,2026-07-13 19:14:13.577882,2026-07-13 19:14:14.826848,0 days 00:00:01.248966,dart,0.1,0,1,42,COMPLETE
43,0.8089604832620186,2026-07-13 19:14:14.826848,2026-07-13 19:14:16.077974,0 days 00:00:01.251126,dart,0.1,0,1,42,COMPLETE
44,0.8089604832620186,2026-07-13 19:14:16.077974,2026-07-13 19:14:17.341462,0 days 00:00:01.263488,dart,0.1,0,1,42,COMPLETE
45,0.8089604832620186,2026-07-13 19:14:17.343464,2026-07-13 19:14:18.578362,0 days 00:00:01.234898,dart,0.1,0,1,42,COMPLETE
46,0.7165869619934558,2026-07-13 19:14:18.578362,2026-07-13 19:14:18.606136,0 days 00:00:00.027774,gblinear,0.1,0,1,42,COMPLETE
47,0.8089604832620186,2026-07-13 19:14:18.606136,2026-07-13 19:14:18.671154,0 days 00:00:00.065018,gbtree,0.1,0,1,42,COMPLETE
48,0.8089604832620186,2026-07-13 19:14:18.671154,2026-07-13 19:14:19.914940,0 days 00:00:01.243786,dart,0.1,0,1,42,COMPLETE
49,0.7993959224767179,2026-07-13 19:14:19.914940,2026-07-13 19:14:19.983993,0 days 00:00:00.069053,gbtree,0.05,0,1,42,COMPLETE
50,0.8089604832620186,2026-07-13 19:14:19.985995,2026-07-13 19:14:21.234515,0 days 00:00:01.248520,dart,0.1,0,1,42,COMPLETE
51,0.8089604832620186,2026-07-13 19:14:21.234515,2026-07-13 19:14:22.492383,0 days 00:00:01.257868,dart,0.1,0,1,42,COMPLETE
52,0.8089604832620186,2026-07-13 19:14:22.492383,2026-07-13 19:14:23.734995,0 days 00:00:01.242612,dart,0.1,0,1,42,COMPLETE
53,0.8089604832620186,2026-07-13 19:14:23.734995,2026-07-13 19:14:24.977346,0 days 00:00:01.242351,dart,0.1,0,1,42,COMPLETE
54,0.8089604832620186,2026-07-13 19:14:24.979349,2026-07-13 19:14:25.044134,0 days 00:00:00.064785,gbtree,0.1,0,1,42,COMPLETE
55,0.8089604832620186,2026-07-13 19:14:25.044134,2026-07-13 19:14:26.310959,0 days 00:00:01.266825,dart,0.1,0,1,42,COMPLETE
56,0.8089604832620186,2026-07-13 19:14:26.310959,2026-07-13 19:14:26.376362,0 days 00:00:00.065403,gbtree,0.1,0,1,42,COMPLETE
57,0.8089604832620186,2026-07-13 19:14:26.376362,2026-07-13 19:14:27.605704,0 days 00:00:01.229342,dart,0.1,0,1,42,COMPLETE
58,0.8089604832620186,2026-07-13 19:14:27.605704,2026-07-13 19:14:27.672899,0 days 00:00:00.067195,gbtree,0.1,0,1,42,COMPLETE
59,0.7165869619934558,2026-07-13 19:14:27.672899,2026-07-13 19:14:27.702163,0 days 00:00:00.029264,gblinear,0.1,0,1,42,COMPLETE
60,0.8089604832620186,2026-07-13 19:14:27.702163,2026-07-13 19:14:28.890283,0 days 00:00:01.188120,dart,0.1,0,1,42,COMPLETE
61,0.8089604832620186,2026-07-13 19:14:28.890283,2026-07-13 19:14:28.957199,0 days 00:00:00.066916,gbtree,0.1,0,1,42,COMPLETE
62,0.8089604832620186,2026-07-13 19:14:28.957199,2026-07-13 19:14:29.020229,0 days 00:00:00.063030,gbtree,0.1,0,1,42,COMPLETE
63,0.8089604832620186,2026-07-13 19:14:29.020229,2026-07-13 19:14:29.086752,0 days 00:00:00.066523,gbtree,0.1,0,1,42,COMPLETE
64,0.8089604832620186,2026-07-13 19:14:29.086752,2026-07-13 19:14:29.151578,0 days 00:00:00.064826,gbtree,0.1,0,1,42,COMPLETE
65,0.7993959224767179,2026-07-13 19:14:29.151578,2026-07-13 19:14:29.218616,0 days 00:00:00.067038,gbtree,0.05,0,1,42,COMPLETE
66,0.8089604832620186,2026-07-13 19:14:29.218616,2026-07-13 19:14:29.283700,0 days 00:00:00.065084,gbtree,0.1,0,1,42,COMPLETE
67,0.8089604832620186,2026-07-13 19:14:29.283700,2026-07-13 19:14:30.564061,0 days 00:00:01.280361,dart,0.1,0,1,42,COMPLETE
68,0.8089604832620186,2026-07-13 19:14:30.564061,2026-07-13 19:14:30.627094,0 days 00:00:00.063033,gbtree,0.1,0,1,42,COMPLETE
69,0.8089604832620186,2026-07-13 19:14:30.627094,2026-07-13 19:14:31.887815,0 days 00:00:01.260721,dart,0.1,0,1,42,COMPLETE
70,0.7165869619934558,2026-07-13 19:14:31.887815,2026-07-13 19:14:31.915618,0 days 00:00:00.027803,gblinear,0.1,0,1,42,COMPLETE
71,0.8089604832620186,2026-07-13 19:14:31.915618,2026-07-13 19:14:33.173229,0 days 00:00:01.257611,dart,0.1,0,1,42,COMPLETE
72,0.8089604832620186,2026-07-13 19:14:33.173229,2026-07-13 19:14:34.442384,0 days 00:00:01.269155,dart,0.1,0,1,42,COMPLETE
73,0.8089604832620186,2026-07-13 19:14:34.442384,2026-07-13 19:14:35.708243,0 days 00:00:01.265859,dart,0.1,0,1,42,COMPLETE
74,0.8089604832620186,2026-07-13 19:14:35.708243,2026-07-13 19:14:37.032984,0 days 00:00:01.324741,dart,0.1,0,1,42,COMPLETE
75,0.7993959224767179,2026-07-13 19:14:37.034726,2026-07-13 19:14:38.313466,0 days 00:00:01.278740,dart,0.05,0,1,42,COMPLETE
76,0.8089604832620186,2026-07-13 19:14:38.315468,2026-07-13 19:14:38.380416,0 days 00:00:00.064948,gbtree,0.1,0,1,42,COMPLETE
77,0.8089604832620186,2026-07-13 19:14:38.380416,2026-07-13 19:14:39.628457,0 days 00:00:01.248041,dart,0.1,0,1,42,COMPLETE
78,0.8089604832620186,2026-07-13 19:14:39.628457,2026-07-13 19:14:40.889912,0 days 00:00:01.261455,dart,0.1,0,1,42,COMPLETE
79,0.8089604832620186,2026-07-13 19:14:40.889912,2026-07-13 19:14:40.955533,0 days 00:00:00.065621,gbtree,0.1,0,1,42,COMPLETE
80,0.8089604832620186,2026-07-13 19:14:40.956046,2026-07-13 19:14:42.147272,0 days 00:00:01.191226,dart,0.1,0,1,42,COMPLETE
81,0.8089604832620186,2026-07-13 19:14:42.147272,2026-07-13 19:14:42.214657,0 days 00:00:00.067385,gbtree,0.1,0,1,42,COMPLETE
82,0.8089604832620186,2026-07-13 19:14:42.214657,2026-07-13 19:14:42.281445,0 days 00:00:00.066788,gbtree,0.1,0,1,42,COMPLETE
83,0.8089604832620186,2026-07-13 19:14:42.281445,2026-07-13 19:14:42.348709,0 days 00:00:00.067264,gbtree,0.1,0,1,42,COMPLETE
84,0.8089604832620186,2026-07-13 19:14:42.348709,2026-07-13 19:14:42.417195,0 days 00:00:00.068486,gbtree,0.1,0,1,42,COMPLETE
85,0.7993959224767179,2026-07-13 19:14:42.417195,2026-07-13 19:14:43.662811,0 days 00:00:01.245616,dart,0.05,0,1,42,COMPLETE
86,0.8089604832620186,2026-07-13 19:14:43.664813,2026-07-13 19:14:43.729599,0 days 00:00:00.064786,gbtree,0.1,0,1,42,COMPLETE
