number,value,datetime_start,datetime_complete,duration,params_booster,params_learning_rate,params_max_delta_step,params_min_child_weight,params_random_state,state
177,0.8089604832620186,2026-07-13 19:15:36.400486,2026-07-13 19:15:36.465279,0 days 00:00:00.064793,gbtree,0.1,0,1,42,COMPLETE
178,0.8089604832620186,2026-07-13 19:15:36.465279,2026-07-13 19:15:37.762060,0 days 00:00:01.296781,dart,0.1,0,1,42,COMPLETE
179,0.8089604832620186,2026-07-13 19:15:37.762060,2026-07-13 19:15:37.831745,0 days 00:00:00.069685,gbtree,0.1,0,1,42,COMPLETE
180,0.8089604832620186,2026-07-13 19:15:37.831745,2026-07-13 19:15:39.177700,0 days 00:00:01.345955,dart,0.1,0,1,42,COMPLETE
181,0.8089604832620186,2026-07-13 19:15:39.177700,2026-07-13 19:15:39.244571,0 days 00:00:00.066871,gbtree,0.1,0,1,42,COMPLETE
182,0.8089604832620186,2026-07-13 19:15:39.244571,2026-07-13 19:15:39.309561,0 days 00:00:00.064990,gbtree,0.1,0,1,42,COMPLETE
183,0.8089604832620186,2026-07-13 19:15:39.309561,2026-07-13 19:15:39.376599,0 days 00:00:00.067038,gbtree,0.1,0,1,42,COMPLETE
184,0.8089604832620186,2026-07-13 19:15:39.376599,2026-07-13 19:15:39.445530,0 days 00:00:00.068931,gbtree,0.1,0,1,42,COMPLETE
185,0.8089604832620186,2026-07-13 19:15:39.445530,2026-07-13 19:15:39.510578,0 days 00:00:00.065048,gbtree,0.1,0,1,42,COMPLETE
186,0.8089604832620186,2026-07-13 19:15:39.510578,2026-07-13 19:15:39.577361,0 days 00:00:00.066783,gbtree,0.1,0,1,42,COMPLETE
187,0.8089604832620186,2026-07-13 19:15:39.579363,2026-07-13 19:15:40.831418,0 days 00:00:01.252055,dart,0.1,0,1,42,COMPLETE
188,0.8089604832620186,2026-07-13 19:15:40.831418,2026-07-13 19:15:40.896827,0 days 00:00:00.065409,gbtree,0.1,0,1,42,COMPLETE
189,0.7165869619934558,2026-07-13 19:15:40.896827,2026-07-13 19:15:40.926111,0 days 00:00:00.029284,gblinear,0.1,0,1,42,COMPLETE
190,0.8089604832620186,2026-07-13 19:15:40.926111,2026-07-13 19:15:42.188808,0 days 00:00:01.262697,dart,0.1,0,1,42,COMPLETE
191,0.8089604832620186,2026-07-13 19:15:42.188808,2026-07-13 19:15:42.253776,0 days 00:00:00.064968,gbtree,0.1,0,1,42,COMPLETE
192,0.8089604832620186,2026-07-13 19:15:42.253776,2026-07-13 19:15:42.321029,0 days 00:00:00.067253,gbtree,0.1,0,1,42,COMPLETE
193,0.8089604832620186,2026-07-13 19:15:42.321029,2026-07-13 19:15:42.385980,0 days 00:00:00.064951,gbtree,0.1,0,1,42,COMPLETE
194,0.8089604832620186,2026-07-13 19:15:42.385980,2026-07-13 19:15:42.453027,0 days 00:00:00.067047,gbtree,0.1,0,1,42,COMPLETE
195,0.8089604832620186,2026-07-13 19:15:42.453027,2026-07-13 19:15:42.518197,0 days 00:00:00.065170,gbtree,0.1,0,1,42,COMPLETE
196,0.7993959224767179,2026-07-13 19:15:42.518197,2026-07-13 19:15:43.811060,0 days 00:00:01.292863,dart,0.05,0,1,42,COMPLETE
197,0.8089604832620186,2026-07-13 19:15:43.811060,2026-07-13 19:15:43.877513,0 days 00:00:00.066453,gbtree,0.1,0,1,42,COMPLETE
198,0.8089604832620186,2026-07-13 19:15:43.877513,2026-07-13 19:15:45.160796,0 days 00:00:01.283283,dart,0.1,0,1,42,COMPLETE
199,0.8089604832620186,2026-07-13 19:15:45.160796,2026-07-13 19:15:45.227362,0 days 00:00:00.066566,gbtree,0.1,0,1,42,COMPLETE
200,0.8089604832620186,2026-07-13 19:15:45.227362,2026-07-13 19:15:45.293953,0 days 00:00:00.066591,gbtree,0.1,0,1,42,COMPLETE
201,0.8089604832620186,2026-07-13 19:15:45.293953,2026-07-13 19:15:45.358469,0 days 00:00:00.064516,gbtree,0.1,0,1,42,COMPLETE
202,0.8089604832620186,2026-07-13 19:15:45.358469,2026-07-13 19:15:45.425163,0 days 00:00:00.066694,gbtree,0.1,0,1,42,COMPLETE
203,0.8089604832620186,2026-07-13 19:15:45.425163,2026-07-13 19:15:45.495685,0 days 00:00:00.070522,gbtree,0.1,0,1,42,COMPLETE
204,0.8089604832620186,2026-07-13 19:15:45.495685,2026-07-13 19:15:45.587789,0 days 00:00:00.092104,gbtree,0.1,0,1,42,COMPLETE
205,0.8089604832620186,2026-07-13 19:15:45.587789,2026-07-13 19:15:46.804994,0 days 00:00:01.217205,dart,0.1,0,1,42,COMPLETE
206,0.8089604832620186,2026-07-13 19:15:46.804994,2026-07-13 19:15:46.870040,0 days 00:00:00.065046,gbtree,0.1,0,1,42,COMPLETE
207,0.8089604832620186,2026-07-13 19:15:46.871783,2026-07-13 19:15:48.145154,0 days 00:00:01.273371,dart,0.1,0,1,42,COMPLETE
208,0.8089604832620186,2026-07-13 19:15:48.145154,2026-07-13 19:15:48.211409,0 days 00:00:00.066255,gbtree,0.1,0,1,42,COMPLETE
209,0.8089604832620186,2026-07-13 19:15:48.211409,2026-07-13 19:15:49.466577,0 days 00:00:01.255168,dart,0.1,0,1,42,COMPLETE
210,0.8089604832620186,2026-07-13 19:15:49.466577,2026-07-13 19:15:49.535260,0 days 00:00:00.068683,gbtree,0.1,0,1,42,COMPLETE
211,0.8089604832620186,2026-07-13 19:15:49.537263,2026-07-13 19:15:50.797518,0 days 00:00:01.260255,dart,0.1,0,1,42,COMPLETE
212,0.8089604832620186,2026-07-13 19:15:50.797518,2026-07-13 19:15:52.052344,0 days 00:00:01.254826,dart,0.1,0,1,42,COMPLETE
213,0.8089604832620186,2026-07-13 19:15:52.054346,2026-07-13 19:15:53.328090,0 days 00:00:01.273744,dart,0.1,0,1,42,COMPLETE
214,0.8089604832620186,2026-07-13 19:15:53.328090,2026-07-13 19:15:54.560082,0 days 00:00:01.231992,dart,0.1,0,1,42,COMPLETE
215,0.8089604832620186,2026-07-13 19:15:54.560082,2026-07-13 19:15:55.781763,0 days 00:00:01.221681,dart,0.1,0,1,42,COMPLETE
216,0.8089604832620186,2026-07-13 19:15:55.781763,2026-07-13 19:15:55.846848,0 days 00:00:00.065085,gbtree,0.1,0,1,42,COMPLETE
217,0.8089604832620186,2026-07-13 19:15:55.846848,2026-07-13 19:15:57.096757,0 days 00:00:01.249909,dart,0.1,0,1,42,COMPLETE
218,0.8089604832620186,2026-07-13 19:15:57.098761,2026-07-13 19:15:57.165199,0 days 00:00:00.066438,gbtree,0.1,0,1,42,COMPLETE
219,0.8089604832620186,2026-07-13 19:15:57.167201,2026-07-13 19:15:57.231449,0 days 00:00:00.064248,gbtree,0.1,0,1,42,COMPLETE
220,0.7100427888245658,2026-07-13 19:15:57.231449,2026-07-13 19:15:57.258450,0 days 00:00:00.027001,gblinear,0.05,0,1,42,COMPLETE
221,0.8089604832620186,2026-07-13 19:15:57.258450,2026-07-13 19:15:58.513444,0 days 00:00:01.254994,dart,0.1,0,1,42,COMPLETE
222,0.8089604832620186,2026-07-13 19:15:58.513444,2026-07-13 19:15:59.807028,0 days 00:00:01.293584,dart,0.1,0,1,42,COMPLETE
223,0.8089604832620186,2026-07-13 19:15:59.807028,2026-07-13 19:16:01.076753,0 days 00:00:01.269725,dart,0.1,0,1,42,COMPLETE
224,0.8089604832620186,2026-07-13 19:16:01.078755,2026-07-13 19:16:02.331512,0 days 00:00:01.252757,dart,0.1,0,1,42,COMPLETE
225,0.8089604832620186,2026-07-13 19:16:02.331512,2026-07-13 19:16:03.562353,0 days 00:00:01.230841,dart,0.1,0,1,42,COMPLETE
226,0.8089604832620186,2026-07-13 19:16:03.562353,2026-07-13 19:16:04.801971,0 days 00:00:01.239618,dart,0.1,0,1,42,COMPLETE
227,0.8089604832620186,2026-07-13 19:16:04.801971,2026-07-13 19:16:04.869171,0 days 00:00:00.067200,gbtree,0.1,0,1,42,COMPLETE
228,0.8089604832620186,2026-07-13 19:16:04.869171,2026-07-13 19:16:04.934208,0 days 00:00:00.065037,gbtree,0.1,0,1,42,COMPLETE
229,0.8089604832620186,2026-07-13 19:16:04.934208,2026-07-13 19:16:06.180098,0 days 00:00:01.245890,dart,0.1,0,1,42,COMPLETE
230,0.8089604832620186,2026-07-13 19:16:06.180098,2026-07-13 19:16:06.245132,0 days 00:00:00.065034,gbtree,0.1,0,1,42,COMPLETE
231,0.8089604832620186,2026-07-13 19:16:06.247134,2026-07-13 19:16:07.535464,0 days 00:00:01.288330,dart,0.1,0,1,42,COMPLETE
232,0.8089604832620186,2026-07-13 19:16:07.535464,2026-07-13 19:16:08.826328,0 days 00:00:01.290864,dart,0.1,0,1,42,COMPLETE
233,0.8089604832620186,2026-07-13 19:16:08.826328,2026-07-13 19:16:10.050891,0 days 00:00:01.224563,dart,0.1,0,1,42,COMPLETE
234,0.8089604832620186,2026-07-13 19:16:10.050891,2026-07-13 19:16:11.282127,0 days 00:00:01.231236,dart,0.1,0,1,42,COMPLETE
235,0.8089604832620186,2026-07-13 19:16:11.284133,2026-07-13 19:16:12.480405,0 days 00:00:01.196272,dart,0.1,0,1,42,COMPLETE
236,0.8089604832620186,2026-07-13 19:16:12.480405,2026-07-13 19:16:12.549268,0 days 00:00:00.068863,gbtree,0.1,0,1,42,COMPLETE
237,0.8089604832620186,2026-07-13 19:16:12.549268,2026-07-13 19:16:13.857499,0 days 00:00:01.308231,dart,0.1,0,1,42,COMPLETE
238,0.8089604832620186,2026-07-13 19:16:13.857499,2026-07-13 19:16:13.924544,0 days 00:00:00.067045,gbtree,0.1,0,1,42,COMPLETE
239,0.8089604832620186,2026-07-13 19:16:13.924544,2026-07-13 19:16:13.989199,0 days 00:00:00.064655,gbtree,0.1,0,1,42,COMPLETE
240,0.8089604832620186,2026-07-13 19:16:13.991201,2026-07-13 19:16:15.250711,0 days 00:00:01.259510,dart,0.1,0,1,42,COMPLETE
241,0.8089604832620186,2026-07-13 19:16:15.250711,2026-07-13 19:16:16.504021,0 days 00:00:01.253310,dart,0.1,0,1,42,COMPLETE
242,0.8089604832620186,2026-07-13 19:16:16.504021,2026-07-13 19:16:17.700809,0 days 00:00:01.196788,dart,0.1,0,1,42,COMPLETE
243,0.8089604832620186,2026-07-13 19:16:17.700809,2026-07-13 19:16:18.983374,0 days 00:00:01.282565,dart,0.1,0,1,42,COMPLETE
244,0.8089604832620186,2026-07-13 19:16:18.983374,2026-07-13 19:16:20.164928,0 days 00:00:01.181554,dart,0.1,0,1,42,COMPLETE
245,0.8089604832620186,2026-07-13 19:16:20.164928,2026-07-13 19:16:20.231706,0 days 00:00:00.066778,gbtree,0.1,0,1,42,COMPLETE
246,0.8089604832620186,2026-07-13 19:16:20.231706,2026-07-13 19:16:21.503689,0 days 00:00:01.271983,dart,0.1,0,1,42,COMPLETE
247,0.8089604832620186,2026-07-13 19:16:21.503689,2026-07-13 19:16:21.570470,0 days 00:00:00.066781,gbtree,0.1,0,1,42,COMPLETE
248,0.8089604832620186,2026-07-13 19:16:21.570470,2026-07-13 19:16:22.771038,0 days 00:00:01.200568,dart,0.1,0,1,42,COMPLETE
249,0.8089604832620186,2026-07-13 19:16:22.771038,2026-07-13 19:16:22.841828,0 days 00:00:00.070790,gbtree,0.1,0,1,42,COMPLETE
250,0.8089604832620186,2026-07-13 19:16:22.843830,2026-07-13 19:16:24.097757,0 days 00:00:01.253927,dart,0.1,0,1,42,COMPLETE
251,0.7993959224767179,2026-07-13 19:16:24.099759,2026-07-13 19:16:24.168608,0 days 00:00:00.068849,gbtree,0.05,0,1,42,COMPLETE
252,0.7165869619934558,2026-07-13 19:16:24.168608,2026-07-13 19:16:24.195867,0 days 00:00:00.027259,gblinear,0.1,0,1,42,COMPLETE
253,0.8089604832620186,2026-07-13 19:16:24.195867,2026-07-13 19:16:25.446462,0 days 00:00:01.250595,dart,0.1,0,1,42,COMPLETE
254,0.8089604832620186,2026-07-13 19:16:25.446462,2026-07-13 19:16:25.515469,0 days 00:00:00.069007,gbtree,0.1,0,1,42,COMPLETE
255,0.8089604832620186,2026-07-13 19:16:25.515469,2026-07-13 19:16:26.733384,0 days 00:00:01.217915,dart,0.1,0,1,42,COMPLETE
256,0.8089604832620186,2026-07-13 19:16:26.735390,2026-07-13 19:16:26.814269,0 days 00:00:00.078879,gbtree,0.1,0,1,42,COMPLETE
257,0.8089604832620186,2026-07-13 19:16:26.816273,2026-07-13 19:16:28.129245,0 days 00:00:01.312972,dart,0.1,0,1,42,COMPLETE
258,0.8089604832620186,2026-07-13 19:16:28.130092,2026-07-13 19:16:28.208378,0 days 00:00:00.078286,gbtree,0.1,0,1,42,COMPLETE
259,0.8089604832620186,2026-07-13 19:16:28.208378,2026-07-13 19:16:28.289219,0 days 00:00:00.080841,gbtree,0.1,0,1,42,COMPLETE
260,0.8089604832620186,2026-07-13 19:16:28.289219,2026-07-13 19:16:29.543123,0 days 00:00:01.253904,dart,0.1,0,1,42,COMPLETE
261,0.8089604832620186,2026-07-13 19:16:29.543123,2026-07-13 19:16:29.614225,0 days 00:00:00.071102,gbtree,0.1,0,1,42,COMPLETE
262,0.8089604832620186,2026-07-13 19:16:29.614225,2026-07-13 19:16:30.924642,0 days 00:00:01.310417,dart,0.1,0,1,42,COMPLETE
263,0.8089604832620186,2026-07-13 19:16:30.924642,2026-07-13 19:16:30.991689,0 days 00:00:00.067047,gbtree,0.1,0,1,42,COMPLETE
264,0.8089604832620186,2026-07-13 19:16:30.991689,2026-07-13 19:16:32.190327,0 days 00:00:01.198638,dart,0.1,0,1,42,COMPLETE
265,0.8089604832620186,2026-07-13 19:16:32.190327,2026-07-13 19:16:32.256667,0 days 00:00:00.066340,gbtree,0.1,0,1,42,COMPLETE
266,0.8089604832620186,2026-07-13 19:16:32.256667,2026-07-13 19:16:33.498971,0 days 00:00:01.242304,dart,0.1,0,1,42,COMPLETE
267,0.8089604832620186,2026-07-13 19:16:33.500974,2026-07-13 19:16:33.566190,0 days 00:00:00.065216,gbtree,0.1,0,1,42,COMPLETE
268,0.8089604832620186,2026-07-13 19:16:33.566190,2026-07-13 19:16:34.847323,0 days 00:00:01.281133,dart,0.1,0,1,42,COMPLETE
269,0.7993959224767179,2026-07-13 19:16:34.847323,2026-07-13 19:16:34.919711,0 days 00:00:00.072388,gbtree,0.05,0,1,42,COMPLETE
270,0.8089604832620186,2026-07-13 19:16:34.919711,2026-07-13 19:16:36.211185,0 days 00:00:01.291474,dart,0.1,0,1,42,COMPLETE
271,0.8089604832620186,2026-07-13 19:16:36.211185,2026-07-13 19:16:36.276785,0 days 00:00:00.065600,gbtree,0.1,0,1,42,COMPLETE
272,0.8089604832620186,2026-07-13 19:16:36.278787,2026-07-13 19:16:37.550843,0 days 00:00:01.272056,dart,0.1,0,1,42,COMPLETE
273,0.8089604832620186,2026-07-13 19:16:37.550843,2026-07-13 19:16:37.617732,0 days 00:00:00.066889,gbtree,0.1,0,1,42,COMPLETE
274,0.7165869619934558,2026-07-13 19:16:37.617732,2026-07-13 19:16:37.645253,0 days 00:00:00.027521,gblinear,0.1,0,1,42,COMPLETE
275,0.8089604832620186,2026-07-13 19:16:37.645253,2026-07-13 19:16:38.870309,0 days 00:00:01.225056,dart,0.1,0,1,42,COMPLETE
276,0.8089604832620186,2026-07-13 19:16:38.870309,2026-07-13 19:16:38.937358,0 days 00:00:00.067049,gbtree,0.1,0,1,42,COMPLETE
277,0.8089604832620186,2026-07-13 19:16:38.937358,2026-07-13 19:16:40.184819,0 days 00:00:01.247461,dart,0.1,0,1,42,COMPLETE
278,0.8089604832620186,2026-07-13 19:16:40.184819,2026-07-13 19:16:40.253883,0 days 00:00:00.069064,gbtree,0.1,0,1,42,COMPLETE
279,0.8089604832620186,2026-07-13 19:16:40.255887,2026-07-13 19:16:41.520136,0 days 00:00:01.264249,dart,0.1,0,1,42,COMPLETE
280,0.8089604832620186,2026-07-13 19:16:41.520136,2026-07-13 19:16:41.585485,0 days 00:00:00.065349,gbtree,0.1,0,1,42,COMPLETE
281,0.8089604832620186,2026-07-13 19:16:41.585485,2026-07-13 19:16:42.835659,0 days 00:00:01.250174,dart,0.1,0,1,42,COMPLETE
282,0.8089604832620186,2026-07-13 19:16:42.837661,2026-07-13 19:16:42.908439,0 days 00:00:00.070778,gbtree,0.1,0,1,42,COMPLETE
283,0.8089604832620186,2026-07-13 19:16:42.908439,2026-07-13 19:16:42.975549,0 days 00:00:00.067110,gbtree,0.1,0,1,42,COMPLETE
284,0.8089604832620186,2026-07-13 19:16:42.975549,2026-07-13 19:16:44.258108,0 days 00:00:01.282559,dart,0.1,0,1,42,COMPLETE
285,0.8089604832620186,2026-07-13 19:16:44.258108,2026-07-13 19:16:44.323197,0 days 00:00:00.065089,gbtree,0.1,0,1,42,COMPLETE
286,0.8089604832620186,2026-07-13 19:16:44.323197,2026-07-13 19:16:45.575895,0 days 00:00:01.252698,dart,0.1,0,1,42,COMPLETE
287,0.8089604832620186,2026-07-13 19:16:45.577635,2026-07-13 19:16:45.641732,0 days 00:00:00.064097,gbtree,0.1,0,1,42,COMPLETE
288,0.8089604832620186,2026-07-13 19:16:45.641732,2026-07-13 19:16:46.937919,0 days 00:00:01.296187,dart,0.1,0,1,42,COMPLETE
289,0.8089604832620186,2026-07-13 19:16:46.937919,2026-07-13 19:16:47.003023,0 days 00:00:00.065104,gbtree,0.1,0,1,42,COMPLETE
290,0.8089604832620186,2026-07-13 19:16:47.003023,2026-07-13 19:16:48.202642,0 days 00:00:01.199619,dart,0.1,0,1,42,COMPLETE
291,0.7993959224767179,2026-07-13 19:16:48.202642,2026-07-13 19:16:48.271976,0 days 00:00:00.069334,gbtree,0.05,0,1,42,COMPLETE
292,0.8089604832620186,2026-07-13 19:16:48.271976,2026-07-13 19:16:49.520703,0 days 00:00:01.248727,dart,0.1,0,1,42,COMPLETE
293,0.8089604832620186,2026-07-13 19:16:49.522705,2026-07-13 19:16:49.588043,0 days 00:00:00.065338,gbtree,0.1,0,1,42,COMPLETE
294,0.8089604832620186,2026-07-13 19:16:49.588043,2026-07-13 19:16:50.892337,0 days 00:00:01.304294,dart,0.1,0,1,42,COMPLETE
295,0.8089604832620186,2026-07-13 19:16:50.892337,2026-07-13 19:16:50.957391,0 days 00:00:00.065054,gbtree,0.1,0,1,42,COMPLETE
296,0.8089604832620186,2026-07-13 19:16:50.957391,2026-07-13 19:16:52.219769,0 days 00:00:01.262378,dart,0.1,0,1,42,COMPLETE
297,0.8089604832620186,2026-07-13 19:16:52.219769,2026-07-13 19:16:52.285137,0 days 00:00:00.065368,gbtree,0.1,0,1,42,COMPLETE
298,0.8089604832620186,2026-07-13 19:16:52.285137,2026-07-13 19:16:53.573138,0 days 00:00:01.288001,dart,0.1,0,1,42,COMPLETE
299,0.8089604832620186,2026-07-13 19:16:53.573138,2026-07-13 19:16:53.639823,0 days 00:00:00.066685,gbtree,0.1,0,1,42,COMPLETE
300,0.8089604832620186,2026-07-13 19:16:53.639823,2026-07-13 19:16:54.902508,0 days 00:00:01.262685,dart,0.1,0,1,42,COMPLETE
301,0.7165869619934558,2026-07-13 19:16:54.902508,2026-07-13 19:16:54.930020,0 days 00:00:00.027512,gblinear,0.1,0,1,42,COMPLETE
302,0.8089604832620186,2026-07-13 19:16:54.930020,2026-07-13 19:16:54.995054,0 days 00:00:00.065034,gbtree,0.1,0,1,42,COMPLETE
303,0.8089604832620186,2026-07-13 19:16:54.995054,2026-07-13 19:16:56.247184,0 days 00:00:01.252130,dart,0.1,0,1,42,COMPLETE
304,0.8089604832620186,2026-07-13 19:16:56.247184,2026-07-13 19:16:56.312207,0 days 00:00:00.065023,gbtree,0.1,0,1,42,COMPLETE
305,0.8089604832620186,2026-07-13 19:16:56.312207,2026-07-13 19:16:57.565263,0 days 00:00:01.253056,dart,0.1,0,1,42,COMPLETE
306,0.8089604832620186,2026-07-13 19:16:57.565263,2026-07-13 19:16:57.630901,0 days 00:00:00.065638,gbtree,0.1,0,1,42,COMPLETE
307,0.8089604832620186,2026-07-13 19:16:57.630901,2026-07-13 19:16:58.914448,0 days 00:00:01.283547,dart,0.1,0,1,42,COMPLETE
308,0.8089604832620186,2026-07-13 19:16:58.914448,2026-07-13 19:16:58.982700,0 days 00:00:00.068252,gbtree,0.1,0,1,42,COMPLETE
309,0.8089604832620186,2026-07-13 19:16:58.982700,2026-07-13 19:17:00.233169,0 days 00:00:01.250469,dart,0.1,0,1,42,COMPLETE
310,0.7993959224767179,2026-07-13 19:17:00.233169,2026-07-13 19:17:00.305382,0 days 00:00:00.072213,gbtree,0.05,0,1,42,COMPLETE
311,0.8089604832620186,2026-07-13 19:17:00.305382,2026-07-13 19:17:00.372423,0 days 00:00:00.067041,gbtree,0.1,0,1,42,COMPLETE
312,0.8089604832620186,2026-07-13 19:17:00.372423,2026-07-13 19:17:01.626724,0 days 00:00:01.254301,dart,0.1,0,1,42,COMPLETE
313,0.8089604832620186,2026-07-13 19:17:01.626724,2026-07-13 19:17:01.693610,0 days 00:00:00.066886,gbtree,0.1,0,1,42,COMPLETE
314,0.8089604832620186,2026-07-13 19:17:01.693610,2026-07-13 19:17:02.944730,0 days 00:00:01.251120,dart,0.1,0,1,42,COMPLETE
315,0.8089604832620186,2026-07-13 19:17:02.944730,2026-07-13 19:17:03.018594,0 days 00:00:00.073864,gbtree,0.1,0,1,42,COMPLETE
316,0.8089604832620186,2026-07-13 19:17:03.018594,2026-07-13 19:17:04.313690,0 days 00:00:01.295096,dart,0.1,0,1,42,COMPLETE
317,0.8089604832620186,2026-07-13 19:17:04.313690,2026-07-13 19:17:04.379071,0 days 00:00:00.065381,gbtree,0.1,0,1,42,COMPLETE
318,0.8089604832620186,2026-07-13 19:17:04.379071,2026-07-13 19:17:05.664483,0 days 00:00:01.285412,dart,0.1,0,1,42,COMPLETE
319,0.7165869619934558,2026-07-13 19:17:05.664483,2026-07-13 19:17:05.694223,0 days 00:00:00.029740,gblinear,0.1,0,1,42,COMPLETE
320,0.8089604832620186,2026-07-13 19:17:05.696230,2026-07-13 19:17:05.771293,0 days 00:00:00.075063,gbtree,0.1,0,1,42,COMPLETE
321,0.8089604832620186,2026-07-13 19:17:05.771293,2026-07-13 19:17:07.075060,0 days 00:00:01.303767,dart,0.1,0,1,42,COMPLETE
322,0.8089604832620186,2026-07-13 19:17:07.075060,2026-07-13 19:17:07.152031,0 days 00:00:00.076971,gbtree,0.1,0,1,42,COMPLETE
323,0.8089604832620186,2026-07-13 19:17:07.152031,2026-07-13 19:17:08.468490,0 days 00:00:01.316459,dart,0.1,0,1,42,COMPLETE
324,0.8089604832620186,2026-07-13 19:17:08.468490,2026-07-13 19:17:08.533267,0 days 00:00:00.064777,gbtree,0.1,0,1,42,COMPLETE
325,0.8089604832620186,2026-07-13 19:17:08.533267,2026-07-13 19:17:09.810025,0 days 00:00:01.276758,dart,0.1,0,1,42,COMPLETE
326,0.8089604832620186,2026-07-13 19:17:09.810025,2026-07-13 19:17:09.879166,0 days 00:00:00.069141,gbtree,0.1,0,1,42,COMPLETE
327,0.7993959224767179,2026-07-13 19:17:09.879166,2026-07-13 19:17:11.177962,0 days 00:00:01.298796,dart,0.05,0,1,42,COMPLETE
328,0.8089604832620186,2026-07-13 19:17:11.177962,2026-07-13 19:17:11.244741,0 days 00:00:00.066779,gbtree,0.1,0,1,42,COMPLETE
329,0.8089604832620186,2026-07-13 19:17:11.244741,2026-07-13 19:17:12.520955,0 days 00:00:01.276214,dart,0.1,0,1,42,COMPLETE
330,0.8089604832620186,2026-07-13 19:17:12.522957,2026-07-13 19:17:12.587731,0 days 00:00:00.064774,gbtree,0.1,0,1,42,COMPLETE
331,0.8089604832620186,2026-07-13 19:17:12.587731,2026-07-13 19:17:13.826615,0 days 00:00:01.238884,dart,0.1,0,1,42,COMPLETE
332,0.8089604832620186,2026-07-13 19:17:13.826615,2026-07-13 19:17:13.891408,0 days 00:00:00.064793,gbtree,0.1,0,1,42,COMPLETE
333,0.8089604832620186,2026-07-13 19:17:13.891408,2026-07-13 19:17:15.137932,0 days 00:00:01.246524,dart,0.1,0,1,42,COMPLETE
334,0.8089604832620186,2026-07-13 19:17:15.139934,2026-07-13 19:17:15.206214,0 days 00:00:00.066280,gbtree,0.1,0,1,42,COMPLETE
335,0.8089604832620186,2026-07-13 19:17:15.206214,2026-07-13 19:17:16.475736,0 days 00:00:01.269522,dart,0.1,0,1,42,COMPLETE
336,0.8089604832620186,2026-07-13 19:17:16.475736,2026-07-13 19:17:16.542517,0 days 00:00:00.066781,gbtree,0.1,0,1,42,COMPLETE
337,0.8089604832620186,2026-07-13 19:17:16.542517,2026-07-13 19:17:17.794081,0 days 00:00:01.251564,dart,0.1,0,1,42,COMPLETE
338,0.8089604832620186,2026-07-13 19:17:17.794081,2026-07-13 19:17:17.858618,0 days 00:00:00.064537,gbtree,0.1,0,1,42,COMPLETE
339,0.8089604832620186,2026-07-13 19:17:17.858618,2026-07-13 19:17:17.923984,0 days 00:00:00.065366,gbtree,0.1,0,1,42,COMPLETE
340,0.8089604832620186,2026-07-13 19:17:17.923984,2026-07-13 19:17:19.162476,0 days 00:00:01.238492,dart,0.1,0,1,42,COMPLETE
341,0.7165869619934558,2026-07-13 19:17:19.162476,2026-07-13 19:17:19.190000,0 days 00:00:00.027524,gblinear,0.1,0,1,42,COMPLETE
342,0.8089604832620186,2026-07-13 19:17:19.190000,2026-07-13 19:17:19.258676,0 days 00:00:00.068676,gbtree,0.1,0,1,42,COMPLETE
343,0.8089604832620186,2026-07-13 19:17:19.258676,2026-07-13 19:17:20.520920,0 days 00:00:01.262244,dart,0.1,0,1,42,COMPLETE
344,0.8089604832620186,2026-07-13 19:17:20.520920,2026-07-13 19:17:20.586281,0 days 00:00:00.065361,gbtree,0.1,0,1,42,COMPLETE
345,0.8089604832620186,2026-07-13 19:17:20.586281,2026-07-13 19:17:21.914893,0 days 00:00:01.328612,dart,0.1,0,1,42,COMPLETE
346,0.8089604832620186,2026-07-13 19:17:21.914893,2026-07-13 19:17:21.985415,0 days 00:00:00.070522,gbtree,0.1,0,1,42,COMPLETE
347,0.8089604832620186,2026-07-13 19:17:21.985415,2026-07-13 19:17:23.204309,0 days 00:00:01.218894,dart,0.1,0,1,42,COMPLETE
348,0.7993959224767179,2026-07-13 19:17:23.204309,2026-07-13 19:17:23.274376,0 days 00:00:00.070067,gbtree,0.05,0,1,42,COMPLETE
349,0.8089604832620186,2026-07-13 19:17:23.274376,2026-07-13 19:17:24.523110,0 days 00:00:01.248734,dart,0.1,0,1,42,COMPLETE
350,0.8089604832620186,2026-07-13 19:17:24.523110,2026-07-13 19:17:24.591379,0 days 00:00:00.068269,gbtree,0.1,0,1,42,COMPLETE
351,0.8089604832620186,2026-07-13 19:17:24.591379,2026-07-13 19:17:25.847566,0 days 00:00:01.256187,dart,0.1,0,1,42,COMPLETE
352,0.8089604832620186,2026-07-13 19:17:25.847566,2026-07-13 19:17:25.914618,0 days 00:00:00.067052,gbtree,0.1,0,1,42,COMPLETE
353,0.8089604832620186,2026-07-13 19:17:25.914618,2026-07-13 19:17:27.095679,0 days 00:00:01.181061,dart,0.1,0,1,42,COMPLETE
354,0.8089604832620186,2026-07-13 19:17:27.095679,2026-07-13 19:17:27.160277,0 days 00:00:00.064598,gbtree,0.1,0,1,42,COMPLETE
355,0.8089604832620186,2026-07-13 19:17:27.162279,2026-07-13 19:17:28.388413,0 days 00:00:01.226134,dart,0.1,0,1,42,COMPLETE
356,0.8089604832620186,2026-07-13 19:17:28.388413,2026-07-13 19:17:28.455543,0 days 00:00:00.067130,gbtree,0.1,0,1,42,COMPLETE
